Model,MDO3104
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,1e+06,,
Gating,70.96500% to 75.0600%,,
Probe Attenuation,10,10,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,5,5,5
Vertical Position,1.18,0,-1.06
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.205760e-02,5.3,5,5.1
4.205780e-02,5.3,5,4.7
4.205800e-02,5.1,5,4.9
4.205820e-02,5.1,4.8,4.7
4.205840e-02,5.1,4.8,5.1
4.205860e-02,5.3,5,4.9
4.205880e-02,5.1,5,5.1
4.205900e-02,5.1,4.8,4.9
4.205920e-02,4.9,4.8,5.1
4.205940e-02,5.1,5,5.1
4.205960e-02,5.1,5,5.1
4.205980e-02,5.1,4.8,5.1
4.206000e-02,5.1,5,4.7
4.206020e-02,5.1,5,5.1
4.206040e-02,5.1,5,4.9
4.206060e-02,5.3,5.2,4.7
4.206080e-02,4.9,5,5.1
4.206100e-02,5.1,5,4.9
4.206120e-02,5.1,5,4.7
4.206140e-02,5.1,4.8,5.1
4.206160e-02,5.5,5,5.1
4.206180e-02,5.1,4.8,4.7
4.206200e-02,5.1,4.8,5.1
4.206220e-02,5.1,5,4.7
4.206240e-02,5.1,4.8,4.9
4.206260e-02,5.1,5,5.1
4.206280e-02,5.3,5,4.7
4.206300e-02,5.1,4.6,5.1
